Ticket ID;Open Time @Timezone;Resolved Time @Timezone
IM70998854;15/08/2019 00:14;
IM70998854;15/08/2019 00:14;
IM71010210;15/08/2019 12:09;
IM71010210;15/08/2019 12:09;
IM71010210;15/08/2019 12:09;
IM71010210;15/08/2019 12:09;
IM71010210;15/08/2019 12:09;
IM71010210;15/08/2019 12:09;
IM71010210;15/08/2019 12:09;
IM71010210;15/08/2019 12:09;
IM71010210;15/08/2019 12:09;
IM71010210;15/08/2019 12:09;
IM71010210;15/08/2019 12:09;
IM71012565;15/08/2019 15:51;
IM71012565;15/08/2019 15:51;
IM71012565;15/08/2019 15:51;
IM71013136;15/08/2019 18:02;
IM71013136;15/08/2019 18:02;
IM71013136;15/08/2019 18:02;
IM71013136;15/08/2019 18:02;
